Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Colin White,OTT,C,45,10,8,18,-6,16,69,0,2,2,0,0,58,18
J.T. Compher,COL,C,48,10,8,18,10,19,47,2,1,1,0,0,32,38
Tanner Pearson,VAN,LW,51,10,8,18,-15,26,110,2,2,1,0,1,54,28
Jason Zucker,PIT,LW,38,9,9,18,-8,21,67,1,1,3,0,0,69,15
Tomas Nosek,BOS,LW,38,8,10,18,7,10,59,2,0,1,0,0,51,18
Eric Robinson,CLS,LW,56,8,10,18,6,4,75,2,0,0,1,0,94,16
Owen Tippett,PHI,RW,45,7,11,18,-5,6,86,2,2,1,0,0,59,5
Zach Parise,NYI,LW,45,7,11,18,7,6,90,3,0,2,0,0,18,20
Brandon Montour,FLA,D,50,7,11,18,-5,40,94,0,0,1,2,0,54,62
Garnet Hathaway,WAS,RW,56,6,12,18,7,66,62,0,0,0,0,1,179,30
Sean Walker,LA,D,47,5,13,18,-13,18,92,0,0,1,0,0,43,72
Nick Cousins,NSH,C,52,5,13,18,4,41,60,1,0,4,0,0,48,16
Ryan Ellis,PHI,D,35,5,13,18,1,10,75,0,2,2,0,0,21,63
Erik Cernak,TB,D,46,5,13,18,8,38,85,0,0,0,0,0,98,46
Rasmus Ristolainen,PHI,D,49,4,14,18,-18,36,73,0,1,6,0,0,193,68
Patrick Maroon,TB,LW,55,4,14,18,2,60,46,0,2,2,0,0,75,6
Jack Eichel,VGK,C,21,2,16,18,-9,6,61,1,1,8,0,0,20,15
Nico Sturm,COL,C,50,11,6,17,10,17,64,2,0,0,0,0,48,26
Kaapo Kakko,NYR,RW,48,9,8,17,3,10,81,0,2,1,0,0,14,16
Dylan Strome,CHI,C,40,9,8,17,-16,14,71,1,4,3,0,0,8,19
Vladislav Namestnikov,DAL,C,53,8,9,17,-5,24,87,0,0,0,0,0,71,35
Boone Jenner,CLS,LW,41,8,9,17,-9,6,79,0,1,0,1,0,76,53
Rudolfs Balcers,SJ,LW,41,8,9,17,-6,16,66,2,0,1,0,0,81,29
Tyson Jost,MIN,C,54,7,10,17,14,24,92,1,0,0,0,0,45,19
Ilya Mikheyev,TOR,RW,54,7,10,17,5,6,107,2,0,0,0,1,49,28
Carl Soderberg,FA,C,45,7,10,17,-5,18,61,1,4,1,0,1,66,36
Nick Bjugstad,MIN,C,44,6,11,17,7,17,78,3,0,1,0,0,48,22
Nicolas Hague,VGK,D,52,5,12,17,14,31,78,0,0,0,0,0,94,65
Ryan Getzlaf,ANH,C,48,5,12,17,-14,43,70,1,3,1,0,0,66,46
Tyler Bozak,STL,C,31,5,12,17,-3,10,35,0,1,3,2,1,17,20
Gustav Forsling,FLA,D,43,5,12,17,17,8,94,0,1,3,0,0,30,42
Cody Ceci,EDM,D,53,4,13,17,18,10,58,1,0,0,0,0,74,70
Nikita Zaitsev,OTT,D,55,4,13,17,-13,26,70,1,0,0,0,1,114,110
Ryan Pulock,NYI,D,56,2,15,17,15,8,121,1,0,1,0,0,97,106
Mario Ferraro,SJ,D,56,1,16,17,-6,22,58,0,0,4,0,0,155,96
Carson Soucy,SEA,D,50,1,16,17,22,51,47,1,0,0,0,0,62,49
Zach Sanford,WPG,LW,52,10,6,16,-13,25,67,3,3,0,1,1,69,44
Alex Chiasson,VAN,RW,45,9,7,16,-10,33,65,1,5,2,0,0,40,7
Jakob Silfverberg,ANH,RW,47,8,8,16,-17,18,91,0,2,1,1,0,19,26
Philipp Kurashev,CHI,LW,54,8,8,16,-9,12,65,1,2,3,0,0,32,18
Brandon Tanev,SEA,LW,32,7,9,16,12,22,43,0,0,0,1,1,139,33
Charlie Coyle,BOS,C,51,6,10,16,-4,20,79,2,0,2,1,0,57,24
Carl Hagelin,WAS,LW,56,6,10,16,7,19,85,0,0,0,1,0,22,19
Paul Byron,MON,C,46,5,11,16,5,12,44,1,0,0,1,0,116,22
Mike Matheson,PIT,D,44,5,11,16,9,28,86,1,0,1,0,0,41,40
Esa Lindell,DAL,D,56,5,11,16,11,19,100,0,0,2,1,0,114,104
Adam Boqvist,CLS,D,35,2,14,16,-7,14,39,0,1,7,0,0,29,29
Ryan Lindgren,NYR,D,51,1,15,16,20,35,65,0,0,0,0,1,98,50
Nic Dowd,WAS,C,56,11,4,15,4,31,68,3,0,0,0,0,109,40
Dominik Kahun,FA,C,48,9,6,15,-3,2,69,2,0,1,0,0,13,12
Michael McLeod,NJ,C,52,9,6,15,-12,42,60,2,0,0,0,0,89,20
Zach Aston-Reese,ANH,C,45,9,6,15,10,15,79,0,0,0,1,0,95,24
Sammy Blais,NYR,LW,36,8,7,15,0,12,31,2,0,0,0,0,103,10
Colton Sissons,NSH,RW,54,8,7,15,2,18,58,0,0,0,1,1,74,27
Sam Gagner,DET,C,42,7,8,15,-4,15,88,1,1,0,0,0,5,14
Jason Dickinson,VAN,C,51,7,8,15,-2,18,66,2,0,1,0,0,78,49
William Carrier,VGK,LW,52,6,9,15,0,16,65,0,0,0,0,0,131,13
Luke Glendening,DAL,C,54,6,9,15,3,20,67,1,0,0,0,0,68,57
Valtteri Filppula,FA,C,38,6,9,15,-1,12,25,1,0,0,0,0,9,15
Derek Grant,ANH,C,46,6,9,15,-4,25,66,1,0,0,1,0,65,40
Nicolas Roy,VGK,C,50,6,9,15,9,14,52,1,0,0,0,0,50,23
Teuvo Teravainen,CAR,C,21,5,10,15,5,4,49,2,0,2,0,0,8,9
Nate Schmidt,WPG,D,54,5,10,15,-7,4,76,1,0,0,0,1,15,72
Noah Hanifin,CGY,D,47,4,11,15,-2,18,89,1,0,3,0,0,28,40
Duncan Keith,EDM,D,54,4,11,15,-13,30,110,1,1,5,0,0,33,91
Alexandre Texier,CLS,C,49,4,11,15,-13,22,75,0,0,0,0,0,49,19
Connor Murphy,CHI,D,50,3,12,15,1,35,78,1,1,0,0,1,102,123
Jaccob Slavin,CAR,D,52,3,12,15,22,2,101,0,0,1,0,1,35,87
Travis Sanheim,PHI,D,55,3,12,15,-22,23,100,1,0,0,0,0,48,73
Ryan Graves,NJ,D,54,2,13,15,15,55,101,0,0,0,0,0,77,91
Kevin Shattenkirk,ANH,D,55,2,13,15,-8,28,93,0,1,4,0,0,57,58
Scott Mayfield,NYI,D,56,2,13,15,2,38,79,0,0,0,0,0,76,108
Oskar Lindblom,PHI,LW,50,8,6,14,-9,9,58,1,0,0,0,0,43,24
Johan Larsson,WAS,C,52,8,6,14,-13,24,58,2,0,0,0,0,77,34
Kevin Rooney,NYR,C,54,8,6,14,0,54,62,0,0,0,2,0,110,35
Tage Thompson,BUF,RW,38,8,6,14,-6,17,96,0,2,1,0,0,25,8
Joel Armia,MON,RW,41,7,7,14,10,10,73,0,1,0,1,1,86,13
Jeff Skinner,BUF,LW,53,7,7,14,-11,14,111,0,1,0,0,0,20,12
Bobby Ryan,FA,RW,33,7,7,14,-14,27,73,0,1,2,0,0,31,17
Casey Cizikas,NYI,C,56,7,7,14,-2,27,72,3,0,0,0,0,112,25
Evan Rodrigues,PIT,C,35,7,7,14,-3,6,65,1,2,0,0,0,21,10
Danton Heinen,PIT,C,43,7,7,14,-9,0,76,1,1,0,0,0,32,30
Radek Faksa,DAL,C,55,6,8,14,-15,30,94,0,1,1,1,0,100,45
Marcus Johansson,WAS,LW,36,6,8,14,-10,4,46,3,2,4,0,0,12,12
Jamie Oleksiak,SEA,D,56,6,8,14,-3,35,84,2,0,0,0,0,148,88
Jake DeBrusk,BOS,LW,41,5,9,14,1,6,92,1,2,1,0,0,33,20
Adam Pelech,NYI,D,56,4,10,14,15,18,82,0,0,0,1,1,66,73
Brian Dumoulin,PIT,D,41,4,10,14,18,12,50,0,0,0,0,1,63,55
Blake Comeau,DAL,LW,51,4,10,14,-13,37,76,0,0,0,0,2,106,18
Vladimir Tarasenko,STL,RW,24,4,10,14,-7,0,65,0,2,4,0,0,30,15
Noah Dobson,NYI,D,46,3,11,14,1,8,69,0,0,5,0,0,40,59
Artem Zub,OTT,D,47,3,11,14,4,26,39,1,0,0,0,0,89,70
Nick Jensen,WAS,D,53,2,12,14,5,14,60,0,0,0,0,0,56,65
T.J. Brodie,TOR,D,56,1,13,14,23,12,48,0,0,3,0,0,34,84
Ryan Murray,COL,D,48,0,14,14,3,8,29,0,0,0,0,0,38,73
Michael Bunting,TOR,LW,21,10,3,13,-1,12,38,1,3,0,0,0,28,1
Rocco Grimaldi,NSH,C,40,10,3,13,-3,4,62,2,0,0,1,0,20,9
Brock McGinn,PIT,LW,37,8,5,13,0,6,58,1,0,0,1,0,44,12
Ryan Dzingel,SJ,C,40,8,5,13,-5,21,48,0,2,1,0,0,44,10
Alexander Volkov,FA,LW,37,7,6,13,1,6,35,0,0,1,0,0,36,26
Josh Archibald,EDM,RW,52,7,6,13,2,37,62,0,0,0,0,0,192,35
Artturi Lehkonen,COL,LW,47,7,6,13,-2,6,78,0,0,0,2,1,85,23
Curtis Lazar,BOS,C,50,7,6,13,-6,6,55,1,0,0,0,0,99,22
Matt Duchene,NSH,C,34,6,7,13,-12,6,73,0,1,2,0,0,30,10
Eric Staal,FA,C,53,5,8,13,-30,10,82,1,1,2,0,0,23,15
Alex Galchenyuk,ARI,RW,34,5,8,13,-8,20,62,0,1,0,0,0,44,10
Lawson Crouse,ARI,LW,51,4,9,13,-10,46,70,0,0,2,0,0,155,30
Jordan Martinook,CAR,LW,44,4,9,13,-3,25,62,1,0,0,0,1,90,20
Richard Panik,NYI,RW,48,4,9,13,-9,18,59,0,1,0,0,0,70,21
Michael Del Zotto,OTT,D,53,4,9,13,5,8,77,0,0,0,0,0,125,54
Riley Sheahan,SEA,C,53,4,9,13,-8,8,44,0,0,0,1,0,17,15
Dylan Cozens,BUF,C,41,4,9,13,-15,16,62,0,1,0,0,0,30,11
Trevor Zegras,ANH,C,24,3,10,13,6,12,53,0,0,0,0,0,7,4
John Leonard,SJ,C,44,3,10,13,-7,2,60,0,1,0,0,0,25,17
John Marino,PIT,D,52,3,10,13,5,8,56,1,1,3,0,1,48,50
Keegan Kolesar,VGK,RW,44,3,10,13,-4,30,46,0,0,0,0,0,107,15
Joel Edmundson,MON,D,55,3,10,13,28,25,77,0,0,0,0,0,98,75
Jake Evans,MON,LW,47,3,10,13,2,29,55,0,0,0,1,1,79,26
Derek Ryan,EDM,C,43,2,11,13,6,16,37,0,0,0,0,0,13,21
Kyle Okposo,BUF,RW,35,2,11,13,-1,0,45,0,0,0,1,1,29,14
Erik Brannstrom,OTT,D,30,2,11,13,3,25,42,0,1,2,0,0,26,18
Ross Colton,TB,LW,30,9,3,12,3,16,46,4,0,0,0,0,36,6
Brandon Sutter,VAN,C,43,9,3,12,-9,2,65,0,0,0,2,0,18,28
Pierre Engvall,TOR,LW,42,7,5,12,2,16,61,1,0,0,0,0,43,12
Sam Steel,ANH,C,42,6,6,12,-7,8,42,0,0,0,0,0,41,19
K'Andre Miller,NYR,D,53,5,7,12,9,20,62,1,0,1,0,1,93,77
Dylan Gambrell,OTT,C,49,5,7,12,-18,13,48,1,0,0,1,0,77,54
Ivan Barbashev,STL,LW,38,5,7,12,5,6,43,1,1,0,0,0,49,15
Danny DeKeyser,DET,D,47,4,8,12,3,18,43,0,0,0,0,0,44,81
Colin Miller,BUF,D,48,4,8,12,-20,27,64,0,1,3,0,0,91,51
Vinnie Hinostroza,BUF,RW,26,4,8,12,0,8,33,0,0,0,0,0,37,3
Mikhail Grigorenko,FA,C,32,4,8,12,-2,6,36,1,0,0,0,0,14,17
Ryan McDonagh,TB,D,50,4,8,12,13,14,85,0,0,0,0,0,69,96
Alexander Radulov,DAL,RW,11,4,8,12,9,6,25,0,1,5,0,0,4,5
Michael Rasmussen,DET,C,40,3,9,12,-5,26,62,1,0,2,0,0,72,28
Robert Thomas,STL,C,33,3,9,12,1,10,22,1,0,0,0,0,5,11
Nicolas Aube-Kubel,COL,C,50,3,9,12,-3,44,53,0,0,0,0,0,120,16
Colton Parayko,STL,D,32,2,10,12,-2,14,60,0,0,0,0,0,35,64
Jacob Trouba,NYR,D,38,2,10,12,3,22,70,1,0,1,0,0,111,84
Derek Forbort,BOS,D,56,2,10,12,1,35,67,0,0,0,0,0,80,115
Chris Tanev,CGY,D,56,2,10,12,15,6,66,0,0,0,0,0,33,107
Dante Fabbro,NSH,D,40,2,10,12,-1,23,59,1,1,1,0,0,32,57
Vladislav Gavrikov,CLS,D,55,2,10,12,-13,14,48,1,0,0,0,0,69,77
Zach Whitecloud,VGK,D,51,2,10,12,9,24,54,1,0,0,0,0,85,75
Jake Bean,CLS,D,42,1,11,12,-2,10,55,0,1,4,0,0,17,21
David Kampf,TOR,RW,56,1,11,12,-3,20,63,0,0,0,0,0,45,14
Erik Gustafsson,CHI,D,29,1,11,12,-1,0,33,0,0,5,0,0,21,21
Pierre-Edouard Bellemare,TB,C,53,9,2,11,6,21,60,0,0,0,0,0,26,36
Jaret Anderson-Dolan,LA,C,34,7,4,11,-9,6,37,2,1,0,0,0,52,20
Max Jones,ANH,LW,46,7,4,11,-9,36,77,1,2,1,0,0,100,11
Rasmus Asplund,BUF,C,28,7,4,11,1,0,34,2,0,0,0,0,15,3
Matt Martin,NYI,LW,54,6,5,11,-2,36,68,0,1,1,0,0,181,23
Tyler Pitlick,MON,C,38,6,5,11,-1,16,56,0,0,1,1,0,81,41
Nico Hischier,NJ,C,21,6,5,11,-9,4,44,0,3,1,1,0,11,20
Carl Grundstrom,LA,LW,47,6,5,11,-10,16,66,3,0,2,0,0,104,23
Joel Kiviranta,DAL,RW,26,6,5,11,3,6,31,0,1,0,0,0,40,11
Adam Gaudette,OTT,C,40,5,6,11,-15,12,66,0,0,3,0,0,16,22
Andrew Cogliano,COL,LW,54,5,6,11,-8,24,88,0,0,0,1,0,79,24
Andreas Johnsson,NJ,LW,50,5,6,11,-1,12,65,0,1,0,0,0,39,17
Yakov Trenin,NSH,C,45,5,6,11,4,22,62,0,0,0,0,0,94,21
Anders Bjork,BUF,LW,45,5,6,11,-13,14,41,0,0,0,0,1,48,13
Brendan Lemieux,LA,LW,49,4,7,11,-2,73,50,1,0,0,0,0,109,26
Noel Acciari,FLA,C,41,4,7,11,0,9,68,1,1,2,0,1,91,63
Michael Raffl,DAL,LW,44,4,7,11,-4,33,50,3,0,0,0,0,71,28
Mark Jankowski,BUF,C,45,4,7,11,4,6,35,0,0,0,0,0,35,21
Cal Clutterbuck,NYI,RW,50,4,7,11,-5,10,50,1,0,0,1,0,191,23
Troy Stecher,LA,D,44,3,8,11,-13,12,55,0,0,0,0,0,33,46
Jujhar Khaira,CHI,C,40,3,8,11,-1,42,41,2,0,0,0,0,151,21
Christian Fischer,ARI,RW,52,3,8,11,-10,6,47,0,0,1,0,0,148,27
Christian Djoos,FA,D,36,2,9,11,-13,14,39,0,1,3,0,0,10,26
Radko Gudas,FLA,D,54,2,9,11,6,40,84,1,0,0,0,0,250,72
Juuso Valimaki,CGY,D,49,2,9,11,-2,26,72,0,0,0,0,0,28,60
Mikey Anderson,LA,D,54,1,10,11,0,30,52,1,0,0,0,2,66,74
Philippe Myers,NSH,D,44,1,10,11,-10,22,77,0,0,0,0,0,69,40
Will Butcher,BUF,D,23,1,10,11,-3,2,37,0,0,2,0,0,7,28
Jordan Oesterle,DET,D,43,1,10,11,-10,10,38,0,1,3,0,0,45,64
Travis Boyd,ARI,C,39,5,5,10,-5,2,23,0,1,0,0,0,18,15
Nicolas Deslauriers,MIN,LW,49,5,5,10,-7,53,65,2,0,0,0,0,136,20
James Neal,STL,RW,29,5,5,10,-2,11,51,0,1,2,0,0,26,6
Trevor Lewis,CGY,C,56,5,5,10,7,2,68,1,0,0,2,0,71,22
Brendan Smith,CAR,D,48,5,5,10,3,73,58,0,0,0,0,0,84,41
Colton Sceviour,EDM,RW,46,5,5,10,0,2,53,0,0,0,0,0,64,28
Jimmy Vesey,NJ,LW,50,5,5,10,-14,10,58,1,0,0,0,1,38,19
Kevin Stenlund,CLS,C,32,5,5,10,-4,8,42,1,0,1,0,0,17,13
Nikita Gusev,FA,LW,31,4,6,10,-12,2,72,0,0,2,0,0,4,1
Adam Larsson,SEA,D,56,4,6,10,2,24,52,0,0,0,0,0,166,128
Cody Glass,NSH,C,27,4,6,10,6,8,28,0,4,1,0,0,10,9
Blake Lizotte,LA,LW,41,3,7,10,2,16,42,0,0,0,0,0,32,21
Drake Caggiula,BUF,LW,38,3,7,10,-6,19,46,0,0,0,0,0,64,9
Nathan Bastian,NJ,RW,41,3,7,10,0,21,46,0,0,0,0,0,136,25
Austin Watson,OTT,LW,34,3,7,10,-7,40,41,0,0,0,0,1,100,49
Patrik Nemeth,NYR,D,52,3,7,10,5,20,53,0,0,0,0,0,87,67
Marc Staal,DET,D,56,3,7,10,-5,20,53,0,0,0,0,0,58,45
Travis Hamonic,OTT,D,38,3,7,10,-3,39,79,0,0,0,0,0,48,81
Brady Skjei,CAR,D,52,3,7,10,6,30,104,1,0,0,0,1,66,62
Tanner Kero,DAL,LW,39,3,7,10,0,6,39,2,0,2,0,0,31,14
Nicholas Merkley,NYR,C,27,2,8,10,-5,7,38,0,0,1,0,0,28,5
Frederick Gaudreau,MIN,C,19,2,8,10,10,2,20,0,0,0,0,1,9,9
Zdeno Chara,NYI,D,55,2,8,10,5,44,67,0,0,0,0,0,88,67
Mason Marchment,FLA,LW,33,2,8,10,4,18,50,0,0,0,0,0,73,8
Matt Roy,LA,D,44,2,8,10,0,8,57,0,0,1,0,1,61,67
Nikolai Knyzhov,SJ,D,56,2,8,10,-9,39,51,1,0,0,0,0,84,54
Kirby Dach,CHI,C,18,2,8,10,-3,4,26,0,1,0,0,0,7,12
Jordie Benn,MIN,D,39,1,9,10,7,9,45,0,0,0,0,0,19,51
Calvin de Haan,CHI,D,44,1,9,10,-16,14,58,1,0,1,0,0,99,85
Markus Nutivaara,FLA,D,30,0,10,10,1,12,45,0,0,0,0,0,35,13
Wayne Simmonds,TOR,RW,38,7,2,9,-3,45,62,0,3,0,0,0,64,15
Tyler Motte,NYR,C,24,6,3,9,0,14,40,1,0,0,0,0,100,28
Josh Leivo,CAR,LW,38,6,3,9,-3,10,50,2,0,0,0,0,33,2
Mikhail Maltsev,COL,C,33,6,3,9,-4,4,55,0,0,0,0,0,26,8
Isac Lundestrom,ANH,LW,41,6,3,9,-9,14,52,0,0,0,0,0,16,19
Devin Shore,EDM,C,38,5,4,9,-4,6,27,1,0,0,1,0,73,26
Oskar Sundqvist,DET,C,28,4,5,9,-6,14,32,0,1,2,0,0,50,25
Patrick Marleau,FA,LW,56,4,5,9,-9,10,54,0,2,0,0,0,40,19
Sean Kuraly,CLS,C,47,4,5,9,-10,20,88,2,0,0,0,1,99,21
Nolan Patrick,VGK,C,52,4,5,9,-30,20,49,0,2,1,0,0,45,18
Wyatt Kalynuk,CHI,D,21,4,5,9,-6,4,26,0,0,0,0,0,25,21
Morgan Geekie,SEA,C,36,3,6,9,1,10,30,0,2,0,0,0,28,6
Anton Stralman,ARI,D,38,3,6,9,-1,8,38,0,0,0,0,0,37,30
Tyler Ennis,OTT,LW,30,3,6,9,0,6,38,2,0,0,0,0,43,6
Marco Scandella,STL,D,49,3,6,9,14,24,55,1,0,0,0,1,60,64
Marcus Pettersson,PIT,D,47,2,7,9,8,22,46,0,0,0,0,0,51,39
Artem Anisimov,FA,C,19,2,7,9,1,2,30,0,1,0,0,0,9,9
Jacob Bryson,BUF,D,38,1,8,9,-1,12,24,0,0,1,0,2,32,43
Jacob MacDonald,COL,D,33,1,8,9,14,8,49,0,0,0,0,0,38,31
Jakub Zboril,BOS,D,42,0,9,9,0,18,35,0,0,2,0,0,63,33
Kris Russell,EDM,D,35,0,9,9,0,8,41,0,0,0,0,0,41,75
Dylan DeMelo,WPG,D,52,0,9,9,10,20,44,0,0,0,0,1,76,58
Cedric Paquette,MON,C,47,4,4,8,-12,21,33,0,0,0,0,0,136,26
Brett Ritchie,CGY,RW,32,4,4,8,-5,24,36,0,0,0,0,0,97,6
Austin Wagner,LA,LW,44,4,4,8,-14,15,67,1,0,0,0,0,97,10
Eetu Luostarinen,FLA,LW,44,3,5,8,-11,12,34,1,0,0,0,0,55,25
Henri Jokiharju,BUF,D,46,3,5,8,-11,4,50,0,0,0,0,0,47,53
Alexander Barabanov,SJ,RW,22,3,5,8,1,6,23,1,1,0,0,0,7,14
Dryden Hunt,NYR,LW,26,3,5,8,-6,4,39,0,0,0,0,0,94,5
Jamie Drysdale,ANH,D,24,3,5,8,-12,6,28,0,0,1,0,0,7,23
Darren Helm,COL,C,47,3,5,8,-3,10,83,0,0,0,0,0,39,20
Evgeny Svechnikov,WPG,LW,21,3,5,8,-3,10,21,1,1,1,0,0,20,6
Brett Kulak,EDM,D,46,2,6,8,3,20,57,0,0,0,0,0,28,54
Brayden McNabb,VGK,D,41,2,6,8,10,16,39,0,0,0,0,0,98,76
Julien Gauthier,NYR,RW,30,2,6,8,-6,14,38,0,0,0,0,0,56,9
Steven Lorentz,CAR,C,45,2,6,8,1,8,40,1,0,0,0,0,47,16
Ethan Bear,CAR,D,43,2,6,8,-1,14,53,1,0,0,0,0,31,55
Ian Cole,CAR,D,54,1,7,8,21,32,30,1,0,0,0,0,38,94
Nikita Zadorov,CGY,D,55,1,7,8,1,36,52,0,0,0,0,0,190,74
Leo Komarov,FA,LW,33,1,7,8,7,15,27,1,0,0,0,1,83,11
Phil Di Giuseppe,VAN,LW,31,1,7,8,2,13,44,0,0,0,0,0,78,16
Jeremy Lauzon,NSH,D,41,1,7,8,8,40,48,0,0,0,0,1,98,53
Joel Hanley,DAL,D,35,0,8,8,6,2,27,0,0,0,0,0,40,30
Jake Gardiner,CAR,D,26,0,8,8,-1,11,23,0,0,3,0,0,15,15
Alexander Edler,LA,D,52,0,8,8,-8,58,99,0,0,0,0,0,80,118
Jan Rutta,TB,D,35,0,8,8,12,22,46,0,0,0,0,2,30,32
Tanner Jeannot,NSH,LW,15,5,2,7,6,2,23,0,0,0,1,1,53,7
Matt Nieto,SJ,LW,28,5,2,7,-4,4,45,0,0,0,0,0,25,19
Tobias Rieder,FA,RW,44,5,2,7,-9,2,63,0,0,0,0,0,21,34
Tyler Bertuzzi,DET,LW,9,5,2,7,0,4,20,1,3,1,0,0,13,3
Kyle Clifford,TOR,LW,50,4,3,7,-5,30,65,0,0,0,0,1,69,17
Wade Allison,PHI,RW,14,4,3,7,1,4,24,1,1,0,0,0,28,10
Jesper Boqvist,NJ,C,28,4,3,7,-5,2,34,1,0,0,0,0,15,10
Ian Mitchell,CHI,D,39,3,4,7,-10,14,23,0,0,0,0,0,18,37
Matthew Highmore,VAN,C,42,3,4,7,-5,8,40,1,0,0,0,0,43,21
Cody Eakin,BUF,C,46,3,4,7,-9,14,39,0,0,0,0,0,33,20
Riley Nash,TB,C,37,2,5,7,-1,4,40,1,0,0,0,0,33,21
Brett Howden,VGK,C,42,1,6,7,-2,11,33,0,0,0,0,1,57,35
Shane Pinto,OTT,C,12,1,6,7,6,10,11,0,0,0,0,0,11,9
Josh Manson,COL,D,23,1,6,7,-3,30,19,1,0,0,0,0,61,31
Ben Chiarot,FLA,D,41,1,6,7,-16,50,81,0,1,0,0,0,77,60
Joakim Nordstrom,FA,C,44,1,6,7,1,6,46,0,0,0,0,0,92,30
Connor Clifton,BOS,D,44,1,6,7,10,38,48,0,0,0,0,1,108,52
Jacob Larsson,ANH,D,46,1,6,7,-9,14,42,0,0,0,0,1,37,59
Ben Harpur,NSH,D,34,0,7,7,2,17,33,0,0,0,0,1,44,29
Conor Timmins,ARI,D,31,0,7,7,6,8,31,0,0,0,0,0,18,22
Arttu Ruotsalainen,BUF,C,17,5,1,6,-9,8,28,0,0,0,0,0,16,4
Noah Gregor,SJ,C,30,5,1,6,-16,6,60,0,0,0,0,0,47,19
Alex Formenton,OTT,LW,20,4,2,6,6,6,27,0,0,0,1,0,23,8
Lias Andersson,LA,LW,23,3,3,6,-4,12,23,0,0,0,0,0,8,9
Dylan Coghlan,VGK,D,29,3,3,6,-3,2,31,0,0,0,0,0,29,16
Brett Connolly,CHI,RW,31,3,3,6,3,4,26,0,0,1,0,0,44,8
Travis Dermott,VAN,D,51,2,4,6,-1,19,36,0,0,0,0,0,44,35
Hampus Lindholm,BOS,D,18,2,4,6,-1,16,29,0,0,1,0,0,9,19
Sam Carrick,ANH,C,13,2,4,6,4,28,23,0,0,1,0,0,29,3
Sami Vatanen,FA,D,39,2,4,6,3,20,55,0,0,0,0,0,27,49
Radim Simek,SJ,D,40,2,4,6,-9,15,26,0,0,0,0,0,76,49
Nicolas Beaudin,CHI,D,19,2,4,6,1,2,7,0,0,1,0,0,14,21
Alexander Romanov,MON,D,54,1,5,6,1,21,71,0,0,1,0,0,138,60
Tobias Bjornfot,LA,D,33,1,5,6,-3,14,30,0,0,0,0,0,28,34
David Savard,MON,D,54,1,5,6,-27,24,69,1,0,0,0,1,132,109
Justin Braun,NYR,D,53,1,5,6,0,18,59,0,0,0,0,0,78,73
Derek Stepan,CAR,C,20,1,5,6,-6,8,44,0,0,2,0,0,25,16
Marc-Edouard Vlasic,SJ,D,51,1,5,6,-8,8,37,0,0,0,0,0,40,64
Frans Nielsen,FA,C,29,1,5,6,-3,0,24,0,0,0,0,0,23,12
Sam Lafferty,CHI,RW,34,0,6,6,-6,25,33,0,0,0,0,0,89,11
Carter Rowney,DET,C,19,0,6,6,-2,2,10,0,0,0,0,0,45,21
Kale Clague,MON,D,18,0,6,6,-6,4,24,0,0,0,0,0,9,13
Mikko Lehtonen,FA,D,26,0,6,6,-2,8,33,0,0,1,0,0,30,15
Jake Virtanen,FA,LW,38,5,0,5,-4,41,50,1,1,0,0,0,83,12
Juho Lammikko,VAN,RW,44,4,1,5,-8,10,43,0,0,0,1,0,50,16
Ryan Carpenter,CGY,C,40,4,1,5,-10,19,51,0,1,0,1,0,78,17
Trent Frederic,BOS,C,42,4,1,5,-8,65,44,3,0,0,0,0,61,15
Adam Brooks,WPG,C,11,4,1,5,4,0,10,0,1,0,1,0,14,2
Cole Caufield,MON,RW,10,4,1,5,-1,2,30,2,0,0,0,0,3,0
